,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Statistikaamet,22.9,24.6,24.8,23.5,22.2,20.9,20.9,18.0,17.1,15.6,14.9,17.5
Eurostat,27.3,29.9,29.8,28.1,26.7,24.8,24.9,21.8,21.6,21.0,20.3,21.1
